Line_num	Error_code	Error_tag
['Line 118']	Ema0006	[Wrong phase 1, should be 2]
['Line 248']	Ema0006	[Wrong phase 1, should be 2]
['Line 270']	Ema0006	[Wrong phase 1, should be 2]
['Line 269']	Ema0006	[Wrong phase 1, should be 2]
['Line 267']	Ema0006	[Wrong phase 2, should be 1]
['Line 279']	Ema0006	[Wrong phase 2, should be 1]
['Line 278']	Ema0006	[Wrong phase 1, should be 2]
['Line 336']	Ema0006	[Wrong phase 1, should be 2]
['Line 449']	Ema0006	[Wrong phase 1, should be 2]
['Line 450']	Ema0006	[Wrong phase 1, should be 2]
['Line 496']	Ema0006	[Wrong phase 1, should be 2]
['Line 495']	Ema0006	[Wrong phase 2, should be 1]
['Line 494']	Ema0006	[Wrong phase 2, should be 1]
['Line 493']	Ema0006	[Wrong phase 2, should be 1]
['Line 491']	Ema0006	[Wrong phase 2, should be 1]
['Line 490']	Ema0006	[Wrong phase 1, should be 2]
['Line 487']	Ema0006	[Wrong phase 2, should be 1]
['Line 485']	Ema0006	[Wrong phase 2, should be 1]
['Line 514']	Ema0006	[Wrong phase 1, should be 2]
['Line 513']	Ema0006	[Wrong phase 1, should be 2]
['Line 510']	Ema0006	[Wrong phase 2, should be 1]
['Line 530']	Ema0006	[Wrong phase 1, should be 2]
['Line 532']	Ema0006	[Wrong phase 2, should be 1]
['Line 533']	Ema0006	[Wrong phase 1, should be 2]
['Line 755']	Ema0006	[Wrong phase 2, should be 1]
['Line 850']	Ema0006	[Wrong phase 1, should be 2]
['Line 848']	Ema0006	[Wrong phase 1, should be 2]
['Line 847']	Ema0006	[Wrong phase 1, should be 2]
['Line 846']	Ema0006	[Wrong phase 1, should be 2]
['Line 869']	Ema0006	[Wrong phase 1, should be 2]
['Line 896']	Ema0006	[Wrong phase 1, should be 2]
